order_id,customer_id,product_id,order_date,quantity,total_amount,payment_method,order_status
900001,10240,50753,2021-09-11 00:00:00,8,2360,Bank Transfer,Pending
900002,10090,50245,2021-01-17 00:00:00,1,131,Bank Transfer,Pending
900003,12280,50448,2021-09-18 00:00:00,9,3195,Bank Transfer,Returned
900004,10457,50365,2022-12-29 00:00:00,9,3744,Credit Card,Delivered
900005,12281,50367,2022-05-16 00:00:00,3,576,Credit Card,Pending
900006,10354,50922,2023-10-13 00:00:00,1,70,Credit Card,Returned
900007,11005,50698,2021-10-13 00:00:00,8,3320,Bank Transfer,Delivered
900008,11357,50287,2021-01-07 00:00:00,8,3784,Bank Transfer,Pending
900009,10439,50962,2022-10-21 00:00:00,9,288,PayPal,Pending
900010,11399,50604,2023-07-26 00:00:00,6,720,PayPal,Returned
900011,10345,50106,2021-02-21 00:00:00,9,1548,Credit Card,Cancelled
900012,12712,50013,2021-08-31 00:00:00,10,2040,PayPal,Delivered
900013,10657,50146,2022-06-02 00:00:00,9,3123,Credit Card,Returned
900014,12178,50478,2023-08-28 00:00:00,4,196,Credit Card,Pending
900015,12189,50631,2021-04-19 00:00:00,5,1925,Bank Transfer,Cancelled
900016,12463,50715,2023-07-10 00:00:00,6,312,PayPal,Cancelled
900017,11117,50653,2021-03-07 00:00:00,6,822,Credit Card,Returned
900018,10626,50115,2023-10-31 00:00:00,10,4780,Credit Card,Returned
900019,10284,50509,2021-07-21 00:00:00,2,42,PayPal,Returned
900020,11980,50152,2023-06-20 00:00:00,4,640,PayPal,Delivered
900021,11679,50057,2021-08-02 00:00:00,9,2331,PayPal,Cancelled
900022,10223,50382,2021-03-09 00:00:00,7,2681,PayPal,Delivered
900023,10744,50157,2023-01-29 00:00:00,9,1341,PayPal,Cancelled
900024,10463,50952,2023-05-16 00:00:00,6,2712,PayPal,Delivered
900025,11569,50822,2021-11-23 00:00:00,7,1113,PayPal,Returned
900026,11706,50133,2023-12-10 00:00:00,9,1062,Credit Card,Pending
900027,11164,50163,2023-11-07 00:00:00,4,1624,Bank Transfer,Returned
900028,12405,50275,2022-06-07 00:00:00,9,2943,Credit Card,Delivered
900029,11737,50695,2023-09-15 00:00:00,3,1062,Credit Card,Returned
900030,11047,50077,2023-10-01 00:00:00,8,2784,Bank Transfer,Cancelled
900031,12907,50837,2022-05-19 00:00:00,3,1470,Bank Transfer,Delivered
900032,10665,50044,2023-01-26 00:00:00,3,195,Bank Transfer,Returned
900033,11357,50718,2022-04-18 00:00:00,3,1191,PayPal,Returned
900034,11015,50550,2023-05-08 00:00:00,9,3231,PayPal,Pending
900035,12133,50318,2022-06-25 00:00:00,10,210,PayPal,Pending
900036,12669,50534,2023-05-19 00:00:00,3,1449,Credit Card,Returned
900037,11055,50585,2023-05-28 00:00:00,6,2142,Bank Transfer,Cancelled
900038,11765,50753,2023-07-29 00:00:00,4,1180,Bank Transfer,Cancelled
900039,12288,50936,2023-05-27 00:00:00,2,906,Credit Card,Cancelled
900040,11914,50154,2023-03-08 00:00:00,3,507,PayPal,Returned
900041,10363,50237,2022-04-17 00:00:00,5,1330,Bank Transfer,Pending
900042,12870,50893,2023-04-18 00:00:00,10,2250,Credit Card,Returned
900043,11413,50517,2021-03-25 00:00:00,4,892,PayPal,Pending
900044,10668,50221,2022-01-12 00:00:00,5,755,Credit Card,Cancelled
900045,11881,50310,2021-07-23 00:00:00,1,21,PayPal,Pending
900046,11395,50598,2023-10-06 00:00:00,4,1544,Credit Card,Returned
900047,10099,50177,2022-05-19 00:00:00,10,720,PayPal,Returned
900048,12095,50771,2022-06-23 00:00:00,3,219,Credit Card,Returned
900049,12887,50220,2021-01-17 00:00:00,2,134,Credit Card,Pending
900050,10422,50038,2022-07-29 00:00:00,7,3248,Credit Card,Cancelled
900051,11504,50654,2022-07-30 00:00:00,10,4910,Credit Card,Returned
900052,10062,50431,2023-10-12 00:00:00,9,2151,Bank Transfer,Returned
900053,11133,50910,2023-11-29 00:00:00,1,334,Bank Transfer,Pending
900054,11703,50747,2021-05-10 00:00:00,7,805,Bank Transfer,Cancelled
900055,10598,50203,2021-04-25 00:00:00,1,82,Bank Transfer,Pending
900056,10392,50841,2023-08-08 00:00:00,5,2255,Credit Card,Delivered
900057,11076,50806,2023-12-05 00:00:00,1,148,Bank Transfer,Delivered
900058,12651,50448,2021-08-04 00:00:00,3,1065,Bank Transfer,Returned
900059,11313,50495,2023-04-28 00:00:00,8,440,Credit Card,Pending
900060,12030,50684,2022-11-20 00:00:00,4,1276,Bank Transfer,Pending
900061,12385,50125,2023-09-30 00:00:00,1,482,Bank Transfer,Returned
900062,10810,50838,2021-09-22 00:00:00,1,25,PayPal,Delivered
900063,11406,50065,2022-09-09 00:00:00,8,960,Bank Transfer,Cancelled
900064,12800,50793,2021-10-28 00:00:00,8,1544,PayPal,Cancelled
900065,11160,50784,2023-09-12 00:00:00,4,212,Bank Transfer,Delivered
900066,11532,50244,2022-02-10 00:00:00,4,384,Credit Card,Returned
900067,11386,50527,2021-06-10 00:00:00,10,2630,Bank Transfer,Returned
900068,10881,50226,2021-01-26 00:00:00,2,676,Credit Card,Cancelled
900069,11600,50465,2021-03-24 00:00:00,2,252,Bank Transfer,Cancelled
900070,12683,50643,2021-06-22 00:00:00,6,2238,Bank Transfer,Delivered
900071,10254,50707,2023-09-26 00:00:00,8,3656,Credit Card,Delivered
900072,12068,50293,2023-03-05 00:00:00,7,2625,Credit Card,Pending
900073,12576,50721,2023-12-30 00:00:00,7,1302,Credit Card,Delivered
900074,11169,50951,2023-04-15 00:00:00,3,1422,Credit Card,Delivered
900075,11232,50381,2021-01-06 00:00:00,2,102,PayPal,Cancelled
900076,12424,50625,2023-03-07 00:00:00,10,2030,PayPal,Cancelled
900077,10166,50756,2022-06-09 00:00:00,7,749,Credit Card,Pending
900078,11574,50166,2021-03-04 00:00:00,4,1696,PayPal,Cancelled
900079,12909,50703,2023-11-03 00:00:00,1,51,Bank Transfer,Cancelled
900080,10617,50769,2023-01-31 00:00:00,1,452,Bank Transfer,Cancelled
900081,12660,50839,2021-07-24 00:00:00,4,816,Bank Transfer,Delivered
900082,11626,50218,2023-06-16 00:00:00,5,850,PayPal,Cancelled
900083,10503,50871,2021-02-09 00:00:00,5,530,PayPal,Returned
900084,10913,50275,2023-11-21 00:00:00,1,327,Bank Transfer,Delivered
900085,12127,50052,2023-05-27 00:00:00,3,327,Credit Card,Cancelled
900086,10585,50374,2023-04-05 00:00:00,6,912,Bank Transfer,Delivered
900087,11959,50670,2023-06-28 00:00:00,10,860,PayPal,Cancelled
900088,12736,50363,2022-02-02 00:00:00,7,1883,Bank Transfer,Pending
900089,10396,50567,2022-09-26 00:00:00,1,231,Bank Transfer,Pending
900090,11632,50014,2023-04-19 00:00:00,8,840,PayPal,Pending
900091,11881,50781,2022-08-23 00:00:00,4,320,PayPal,Cancelled
900092,10402,50340,2022-09-17 00:00:00,9,4149,PayPal,Pending
900093,10975,50602,2023-07-27 00:00:00,6,2388,PayPal,Delivered
900094,10224,50539,2023-06-03 00:00:00,1,465,Bank Transfer,Pending
900095,10518,50089,2022-03-01 00:00:00,2,272,PayPal,Pending
900096,12682,50905,2022-01-22 00:00:00,3,231,Credit Card,Pending
900097,10236,50041,2023-10-01 00:00:00,2,210,PayPal,Pending
900098,10116,50304,2023-05-08 00:00:00,10,1950,PayPal,Delivered
900099,10226,50268,2022-09-15 00:00:00,7,1687,Bank Transfer,Returned
900100,12278,50138,2021-03-31 00:00:00,1,315,Credit Card,Pending
900101,10182,50006,2022-01-20 00:00:00,9,3834,Credit Card,Cancelled
900102,11342,50242,2023-09-24 00:00:00,2,446,Credit Card,Returned
900103,10210,50162,2022-10-09 00:00:00,4,196,PayPal,Pending
900104,11416,50692,2022-02-26 00:00:00,8,2272,Bank Transfer,Returned
900105,12144,50809,2023-05-24 00:00:00,3,1275,Bank Transfer,Cancelled
900106,10894,50979,2021-02-22 00:00:00,9,1998,PayPal,Cancelled
900107,11882,50518,2023-09-13 00:00:00,7,1463,Credit Card,Pending
900108,12804,50898,2023-10-11 00:00:00,10,1680,Credit Card,Pending
900109,11110,50783,2022-11-16 00:00:00,3,267,Bank Transfer,Cancelled
900110,12463,50401,2021-06-28 00:00:00,3,228,PayPal,Delivered
900111,12027,50784,2021-10-20 00:00:00,5,265,Credit Card,Returned
900112,10394,50156,2022-01-10 00:00:00,5,2335,PayPal,Delivered
900113,12744,50085,2023-12-19 00:00:00,10,4500,Bank Transfer,Pending
900114,10844,50712,2023-12-14 00:00:00,5,2015,PayPal,Delivered
900115,11525,50010,2023-03-07 00:00:00,9,675,PayPal,Delivered
900116,10604,50138,2021-01-16 00:00:00,9,2835,PayPal,Returned
900117,10582,50754,2021-06-25 00:00:00,6,978,PayPal,Pending
900118,12043,50906,2021-05-09 00:00:00,7,2639,Credit Card,Returned
900119,11940,50713,2023-06-03 00:00:00,10,2280,Bank Transfer,Cancelled
900120,10133,50156,2022-03-02 00:00:00,8,3736,Credit Card,Returned
900121,12839,50408,2021-12-20 00:00:00,9,3654,Credit Card,Returned
900122,12697,50787,2023-01-20 00:00:00,6,1086,Credit Card,Cancelled
900123,12269,50225,2023-01-14 00:00:00,8,1160,Credit Card,Delivered
900124,10976,50580,2023-10-24 00:00:00,2,994,Bank Transfer,Returned
900125,11814,50184,2022-04-24 00:00:00,10,460,Bank Transfer,Cancelled
900126,11544,50195,2023-09-03 00:00:00,8,1056,Credit Card,Pending
900127,12836,50554,2021-02-13 00:00:00,2,506,PayPal,Delivered
900128,12739,50396,2021-06-04 00:00:00,8,1368,PayPal,Cancelled
900129,11358,50914,2023-08-05 00:00:00,2,372,PayPal,Delivered
900130,10039,50663,2023-07-17 00:00:00,3,972,PayPal,Cancelled
900131,11317,50596,2021-04-09 00:00:00,7,1554,PayPal,Returned
900132,12738,50134,2021-06-20 00:00:00,9,2214,Bank Transfer,Delivered
900133,10162,50309,2021-05-28 00:00:00,3,999,PayPal,Returned
900134,11910,50866,2021-05-03 00:00:00,5,2055,Bank Transfer,Cancelled
900135,11128,50810,2021-04-22 00:00:00,9,2367,PayPal,Returned
900136,12209,50962,2023-10-20 00:00:00,7,224,PayPal,Returned
900137,11659,50542,2023-10-09 00:00:00,2,676,Credit Card,Cancelled
900138,11964,50009,2021-03-09 00:00:00,5,185,Credit Card,Returned
900139,11058,50987,2023-04-08 00:00:00,5,395,Credit Card,Returned
900140,12290,50170,2023-06-11 00:00:00,9,207,Bank Transfer,Returned
900141,10967,50290,2023-10-26 00:00:00,2,744,Bank Transfer,Pending
900142,10890,50168,2021-08-18 00:00:00,1,472,Credit Card,Pending
900143,12161,50344,2021-06-09 00:00:00,4,72,Credit Card,Pending
900144,12366,50497,2021-07-05 00:00:00,4,1344,PayPal,Delivered
900145,12071,50145,2023-10-11 00:00:00,1,190,Bank Transfer,Returned
900146,12872,50413,2023-05-27 00:00:00,10,4980,PayPal,Returned
900147,12749,50740,2022-07-06 00:00:00,7,1589,PayPal,Returned
900148,11667,50818,2021-05-27 00:00:00,2,478,Credit Card,Delivered
900149,11442,50588,2022-03-12 00:00:00,9,3402,PayPal,Delivered
900150,11068,50735,2023-01-02 00:00:00,7,1449,PayPal,Cancelled
900151,10128,50689,2021-03-01 00:00:00,7,1645,Credit Card,Returned
900152,12924,50457,2023-04-23 00:00:00,1,400,Credit Card,Cancelled
900153,10158,50701,2022-02-08 00:00:00,9,99,PayPal,Cancelled
900154,10827,50979,2023-05-31 00:00:00,10,2220,PayPal,Delivered
900155,11891,50302,2022-09-07 00:00:00,9,3555,PayPal,Pending
900156,12900,50046,2021-12-02 00:00:00,2,300,Bank Transfer,Delivered
900157,10512,50894,2023-04-11 00:00:00,10,3930,PayPal,Delivered
900158,12093,50017,2021-10-12 00:00:00,9,702,Credit Card,Pending
900159,12267,50578,2021-05-09 00:00:00,2,634,PayPal,Pending
900160,10443,50360,2021-11-11 00:00:00,2,678,Bank Transfer,Delivered
900161,12363,50261,2023-08-18 00:00:00,8,1616,PayPal,Returned
900162,12225,50123,2021-03-12 00:00:00,3,1404,Bank Transfer,Cancelled
900163,12276,50231,2021-12-11 00:00:00,3,1311,Bank Transfer,Returned
900164,11727,50950,2021-06-25 00:00:00,7,1540,Credit Card,Cancelled
900165,12007,50637,2023-06-03 00:00:00,10,1340,PayPal,Returned
900166,11696,50112,2021-05-23 00:00:00,6,1320,Bank Transfer,Pending
900167,10267,50784,2023-07-20 00:00:00,7,371,PayPal,Returned
900168,12918,50593,2023-11-13 00:00:00,6,1578,Bank Transfer,Delivered
900169,10838,50246,2021-06-30 00:00:00,9,756,Credit Card,Cancelled
900170,10489,50859,2023-12-05 00:00:00,2,592,Credit Card,Cancelled
